coral_id,date,transplantation,type,knoll,species,survival_status,trapezia,alpheus,spirobranchus_giganteus,collector,coral_id_raw,species_raw,date_raw,genus,cohort,treatment,coral_uid,monitoring_start,months_of_monitoring,pre_monitoring_date_flag,inverts_observed,collector_clean,bio_colony_id,source_coral_uid,source_cohort,source_monitoring_start,source_transplantation,survey_occasion,month_bin,genus_lab
1Pd5,2007-06-01,control_unified,control,1,Pocillopora_damicornis,0,2,2,0,NA,1Pd5,Pocillopora_damicornis,1/6/2007,Pocillopora,Unified,control,1Pd5_control_unified,2005-12-01,18,FALSE,TRUE,NA,1Pd5,1Pd5_control_T1,T1,2005-12-01,control_T1,15,18,*Pocillopora favosa*
1Pd5,2007-07-01,control_unified,control,1,Pocillopora_damicornis,0,2,2,0,NA,1Pd5,Pocillopora_damicornis,1/7/2007,Pocillopora,Unified,control,1Pd5_control_unified,2005-12-01,19,FALSE,TRUE,NA,1Pd5,1Pd5_control_T1,T1,2005-12-01,control_T1,16,19,*Pocillopora favosa*
1Pd5,2007-09-01,control_unified,control,1,Pocillopora_damicornis,0,2,2,0,NA,1Pd5,Pocillopora_damicornis,1/9/2007,Pocillopora,Unified,control,1Pd5_control_unified,2005-12-01,21,FALSE,TRUE,NA,1Pd5,1Pd5_control_T1,T1,2005-12-01,control_T1,17,21,*Pocillopora favosa*
1Pd5,2007-10-01,control_unified,control,1,Pocillopora_damicornis,0,2,2,0,NA,1Pd5,Pocillopora_damicornis,1/10/2007,Pocillopora,Unified,control,1Pd5_control_unified,2005-12-01,22,FALSE,TRUE,NA,1Pd5,1Pd5_control_T2,T2,2007-06-01,control_T2,18,22,*Pocillopora favosa*
1Pd5,2007-12-01,control_unified,control,1,Pocillopora_damicornis,0,2,2,0,NA,1Pd5,Pocillopora_damicornis,1/12/2007,Pocillopora,Unified,control,1Pd5_control_unified,2005-12-01,24,FALSE,TRUE,NA,1Pd5,1Pd5_control_T2,T2,2007-06-01,control_T2,19,24,*Pocillopora favosa*
1Pd5,2008-09-01,control_unified,control,1,Pocillopora_damicornis,0,2,0,0,NA,1Pd5,Pocillopora_damicornis,1/9/2008,Pocillopora,Unified,control,1Pd5_control_unified,2005-12-01,33,FALSE,TRUE,NA,1Pd5,1Pd5_control_T2,T2,2007-06-01,control_T2,20,33,*Pocillopora favosa*
1Pd5,2008-12-01,control_unified,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd5,Pocillopora_damicornis,1/12/2008,Pocillopora,Unified,control,1Pd5_control_unified,2005-12-01,36,FALSE,TRUE,NA,1Pd5,1Pd5_control_T2,T2,2007-06-01,control_T2,21,36,*Pocillopora favosa*
1Pd5,2009-04-01,control_unified,control,1,Pocillopora_damicornis,0,2,2,0,NA,1Pd5,Pocillopora_damicornis,1/4/2009,Pocillopora,Unified,control,1Pd5_control_unified,2005-12-01,40,FALSE,TRUE,NA,1Pd5,1Pd5_control_T2,T2,2007-06-01,control_T2,22,40,*Pocillopora favosa*
1Pd5,2009-09-01,control_unified,control,1,Pocillopora_damicornis,0,4,2,0,NA,1Pd5,Pocillopora_damicornis,1/9/2009,Pocillopora,Unified,control,1Pd5_control_unified,2005-12-01,45,FALSE,TRUE,NA,1Pd5,1Pd5_control_T2,T2,2007-06-01,control_T2,23,45,*Pocillopora favosa*
1Pd5,2011-11-01,control_unified,control,1,Pocillopora_damicornis,0,2,2,0,NA,1Pd5,Pocillopora_damicornis,1/11/2011,Pocillopora,Unified,control,1Pd5_control_unified,2005-12-01,71,FALSE,TRUE,NA,1Pd5,1Pd5_control_T2,T2,2007-06-01,control_T2,26,71,*Pocillopora favosa*
1Pd5,2012-03-01,control_unified,control,1,Pocillopora_damicornis,0,2,2,0,NA,1Pd5,Pocillopora_damicornis,1/3/2012,Pocillopora,Unified,control,1Pd5_control_unified,2005-12-01,75,FALSE,TRUE,NA,1Pd5,1Pd5_control_T2,T2,2007-06-01,control_T2,27,75,*Pocillopora favosa*
1Pd6,2005-12-01,control_unified,control,1,Pocillopora_damicornis,0,2,0,0,NA,1Pd6,Pocillopora_damicornis,1/12/2005,Pocillopora,Unified,control,1Pd6_control_unified,2005-12-01,0,FALSE,TRUE,NA,1Pd6,1Pd6_control_T1,T1,2005-12-01,control_T1,1,0,*Pocillopora favosa*
1Pd6,2006-01-01,control_unified,control,1,Pocillopora_damicornis,0,2,0,0,NA,1Pd6,Pocillopora_damicornis,1/1/2006,Pocillopora,Unified,control,1Pd6_control_unified,2005-12-01,1,FALSE,TRUE,NA,1Pd6,1Pd6_control_T1,T1,2005-12-01,control_T1,2,1,*Pocillopora favosa*
1Pd6,2006-02-01,control_unified,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd6,Pocillopora_damicornis,1/2/2006,Pocillopora,Unified,control,1Pd6_control_unified,2005-12-01,2,FALSE,TRUE,NA,1Pd6,1Pd6_control_T1,T1,2005-12-01,control_T1,3,2,*Pocillopora favosa*
1Pd6,2006-03-01,control_unified,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd6,Pocillopora_damicornis,1/3/2006,Pocillopora,Unified,control,1Pd6_control_unified,2005-12-01,3,FALSE,TRUE,NA,1Pd6,1Pd6_control_T1,T1,2005-12-01,control_T1,4,3,*Pocillopora favosa*
1Pd6,2006-04-01,control_unified,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd6,Pocillopora_damicornis,1/4/2006,Pocillopora,Unified,control,1Pd6_control_unified,2005-12-01,4,FALSE,TRUE,NA,1Pd6,1Pd6_control_T1,T1,2005-12-01,control_T1,5,4,*Pocillopora favosa*
1Pd6,2006-05-01,control_unified,control,1,Pocillopora_damicornis,0,6,4,3,NA,1Pd6,Pocillopora_damicornis,1/5/2006,Pocillopora,Unified,control,1Pd6_control_unified,2005-12-01,5,FALSE,TRUE,NA,1Pd6,1Pd6_control_T1,T1,2005-12-01,control_T1,6,5,*Pocillopora favosa*
1Pd6,2006-06-01,control_unified,control,1,Pocillopora_damicornis,0,6,4,3,NA,1Pd6,Pocillopora_damicornis,1/6/2006,Pocillopora,Unified,control,1Pd6_control_unified,2005-12-01,6,FALSE,TRUE,NA,1Pd6,1Pd6_control_T1,T1,2005-12-01,control_T1,7,6,*Pocillopora favosa*
1Pd6,2006-07-01,control_unified,control,1,Pocillopora_damicornis,0,6,4,3,NA,1Pd6,Pocillopora_damicornis,1/7/2006,Pocillopora,Unified,control,1Pd6_control_unified,2005-12-01,7,FALSE,TRUE,NA,1Pd6,1Pd6_control_T1,T1,2005-12-01,control_T1,8,7,*Pocillopora favosa*
1Pd6,2006-08-01,control_unified,control,1,Pocillopora_damicornis,0,6,4,3,NA,1Pd6,Pocillopora_damicornis,1/8/2006,Pocillopora,Unified,control,1Pd6_control_unified,2005-12-01,8,FALSE,TRUE,NA,1Pd6,1Pd6_control_T1,T1,2005-12-01,control_T1,9,8,*Pocillopora favosa*
1Pd6,2006-09-01,control_unified,control,1,Pocillopora_damicornis,0,0,0,3,NA,1Pd6,Pocillopora_damicornis,1/9/2006,Pocillopora,Unified,control,1Pd6_control_unified,2005-12-01,9,FALSE,TRUE,NA,1Pd6,1Pd6_control_T1,T1,2005-12-01,control_T1,10,9,*Pocillopora favosa*
1Pd6,2006-11-01,control_unified,control,1,Pocillopora_damicornis,0,0,0,3,NA,1Pd6,Pocillopora_damicornis,1/11/2006,Pocillopora,Unified,control,1Pd6_control_unified,2005-12-01,11,FALSE,TRUE,NA,1Pd6,1Pd6_control_T1,T1,2005-12-01,control_T1,11,11,*Pocillopora favosa*
1Pd6,2006-12-01,control_unified,control,1,Pocillopora_damicornis,0,6,4,3,NA,1Pd6,Pocillopora_damicornis,1/12/2006,Pocillopora,Unified,control,1Pd6_control_unified,2005-12-01,12,FALSE,TRUE,NA,1Pd6,1Pd6_control_T1,T1,2005-12-01,control_T1,12,12,*Pocillopora favosa*
1Pd6,2007-02-01,control_unified,control,1,Pocillopora_damicornis,0,0,0,3,NA,1Pd6,Pocillopora_damicornis,1/2/2007,Pocillopora,Unified,control,1Pd6_control_unified,2005-12-01,14,FALSE,TRUE,NA,1Pd6,1Pd6_control_T1,T1,2005-12-01,control_T1,13,14,*Pocillopora favosa*
1Pd6,2007-04-01,control_unified,control,1,Pocillopora_damicornis,0,0,0,3,NA,1Pd6,Pocillopora_damicornis,1/4/2007,Pocillopora,Unified,control,1Pd6_control_unified,2005-12-01,16,FALSE,TRUE,NA,1Pd6,1Pd6_control_T1,T1,2005-12-01,control_T1,14,16,*Pocillopora favosa*
1Pd6,2007-06-01,control_unified,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd6,Pocillopora_damicornis,1/6/2007,Pocillopora,Unified,control,1Pd6_control_unified,2005-12-01,18,FALSE,TRUE,NA,1Pd6,1Pd6_control_T1,T1,2005-12-01,control_T1,15,18,*Pocillopora favosa*
1Pd6,2007-07-01,control_unified,control,1,Pocillopora_damicornis,0,0,2,0,NA,1Pd6,Pocillopora_damicornis,1/7/2007,Pocillopora,Unified,control,1Pd6_control_unified,2005-12-01,19,FALSE,TRUE,NA,1Pd6,1Pd6_control_T1,T1,2005-12-01,control_T1,16,19,*Pocillopora favosa*
1Pd6,2007-09-01,control_unified,control,1,Pocillopora_damicornis,0,2,2,0,NA,1Pd6,Pocillopora_damicornis,1/9/2007,Pocillopora,Unified,control,1Pd6_control_unified,2005-12-01,21,FALSE,TRUE,NA,1Pd6,1Pd6_control_T1,T1,2005-12-01,control_T1,17,21,*Pocillopora favosa*
1Pd6,2007-10-01,control_unified,control,1,Pocillopora_damicornis,0,6,0,0,NA,1Pd6,Pocillopora_damicornis,1/10/2007,Pocillopora,Unified,control,1Pd6_control_unified,2005-12-01,22,FALSE,TRUE,NA,1Pd6,1Pd6_control_T2,T2,2007-06-01,control_T2,18,22,*Pocillopora favosa*
1Pd6,2007-12-01,control_unified,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd6,Pocillopora_damicornis,1/12/2007,Pocillopora,Unified,control,1Pd6_control_unified,2005-12-01,24,FALSE,TRUE,NA,1Pd6,1Pd6_control_T2,T2,2007-06-01,control_T2,19,24,*Pocillopora favosa*
1Pd6,2008-09-01,control_unified,control,1,Pocillopora_damicornis,0,2,0,0,NA,1Pd6,Pocillopora_damicornis,1/9/2008,Pocillopora,Unified,control,1Pd6_control_unified,2005-12-01,33,FALSE,TRUE,NA,1Pd6,1Pd6_control_T2,T2,2007-06-01,control_T2,20,33,*Pocillopora favosa*
1Pd6,2008-12-01,control_unified,control,1,Pocillopora_damicornis,0,2,0,0,NA,1Pd6,Pocillopora_damicornis,1/12/2008,Pocillopora,Unified,control,1Pd6_control_unified,2005-12-01,36,FALSE,TRUE,NA,1Pd6,1Pd6_control_T2,T2,2007-06-01,control_T2,21,36,*Pocillopora favosa*
1Pd6,2009-04-01,control_unified,control,1,Pocillopora_damicornis,0,4,2,0,NA,1Pd6,Pocillopora_damicornis,1/4/2009,Pocillopora,Unified,control,1Pd6_control_unified,2005-12-01,40,FALSE,TRUE,NA,1Pd6,1Pd6_control_T2,T2,2007-06-01,control_T2,22,40,*Pocillopora favosa*
1Pd6,2009-09-01,control_unified,control,1,Pocillopora_damicornis,0,2,2,0,NA,1Pd6,Pocillopora_damicornis,1/9/2009,Pocillopora,Unified,control,1Pd6_control_unified,2005-12-01,45,FALSE,TRUE,NA,1Pd6,1Pd6_control_T2,T2,2007-06-01,control_T2,23,45,*Pocillopora favosa*
1Pd6,2011-11-01,control_unified,control,1,Pocillopora_damicornis,1,0,0,0,NA,1Pd6,Pocillopora_damicornis,1/11/2011,Pocillopora,Unified,control,1Pd6_control_unified,2005-12-01,71,FALSE,TRUE,NA,1Pd6,1Pd6_control_T2,T2,2007-06-01,control_T2,26,71,*Pocillopora favosa*
1Pd6,2012-03-01,control_unified,control,1,Pocillopora_damicornis,1,0,0,0,NA,1Pd6,Pocillopora_damicornis,1/3/2012,Pocillopora,Unified,control,1Pd6_control_unified,2005-12-01,75,FALSE,TRUE,NA,1Pd6,1Pd6_control_T2,T2,2007-06-01,control_T2,27,75,*Pocillopora favosa*
1Pd7,2005-12-01,control_unified,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd7,Pocillopora_damicornis,1/12/2005,Pocillopora,Unified,control,1Pd7_control_unified,2005-12-01,0,FALSE,TRUE,NA,1Pd7,1Pd7_control_T1,T1,2005-12-01,control_T1,1,0,*Pocillopora favosa*
1Pd7,2006-01-01,control_unified,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd7,Pocillopora_damicornis,1/1/2006,Pocillopora,Unified,control,1Pd7_control_unified,2005-12-01,1,FALSE,TRUE,NA,1Pd7,1Pd7_control_T1,T1,2005-12-01,control_T1,2,1,*Pocillopora favosa*
1Pd7,2006-02-01,control_unified,control,1,Pocillopora_damicornis,0,2,0,0,NA,1Pd7,Pocillopora_damicornis,1/2/2006,Pocillopora,Unified,control,1Pd7_control_unified,2005-12-01,2,FALSE,TRUE,NA,1Pd7,1Pd7_control_T1,T1,2005-12-01,control_T1,3,2,*Pocillopora favosa*
1Pd7,2006-03-01,control_unified,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd7,Pocillopora_damicornis,1/3/2006,Pocillopora,Unified,control,1Pd7_control_unified,2005-12-01,3,FALSE,TRUE,NA,1Pd7,1Pd7_control_T1,T1,2005-12-01,control_T1,4,3,*Pocillopora favosa*
1Pd7,2006-04-01,control_unified,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd7,Pocillopora_damicornis,1/4/2006,Pocillopora,Unified,control,1Pd7_control_unified,2005-12-01,4,FALSE,TRUE,NA,1Pd7,1Pd7_control_T1,T1,2005-12-01,control_T1,5,4,*Pocillopora favosa*
1Pd7,2006-05-01,control_unified,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd7,Pocillopora_damicornis,1/5/2006,Pocillopora,Unified,control,1Pd7_control_unified,2005-12-01,5,FALSE,TRUE,NA,1Pd7,1Pd7_control_T1,T1,2005-12-01,control_T1,6,5,*Pocillopora favosa*
1Pd7,2006-06-01,control_unified,control,1,Pocillopora_damicornis,0,2,0,0,NA,1Pd7,Pocillopora_damicornis,1/6/2006,Pocillopora,Unified,control,1Pd7_control_unified,2005-12-01,6,FALSE,TRUE,NA,1Pd7,1Pd7_control_T1,T1,2005-12-01,control_T1,7,6,*Pocillopora favosa*
1Pd7,2006-07-01,control_unified,control,1,Pocillopora_damicornis,0,1,0,0,NA,1Pd7,Pocillopora_damicornis,1/7/2006,Pocillopora,Unified,control,1Pd7_control_unified,2005-12-01,7,FALSE,TRUE,NA,1Pd7,1Pd7_control_T1,T1,2005-12-01,control_T1,8,7,*Pocillopora favosa*
1Pd7,2006-08-01,control_unified,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd7,Pocillopora_damicornis,1/8/2006,Pocillopora,Unified,control,1Pd7_control_unified,2005-12-01,8,FALSE,TRUE,NA,1Pd7,1Pd7_control_T1,T1,2005-12-01,control_T1,9,8,*Pocillopora favosa*
1Pd7,2006-09-01,control_unified,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd7,Pocillopora_damicornis,1/9/2006,Pocillopora,Unified,control,1Pd7_control_unified,2005-12-01,9,FALSE,TRUE,NA,1Pd7,1Pd7_control_T1,T1,2005-12-01,control_T1,10,9,*Pocillopora favosa*
1Pd7,2006-11-01,control_unified,control,1,Pocillopora_damicornis,0,2,0,0,NA,1Pd7,Pocillopora_damicornis,1/11/2006,Pocillopora,Unified,control,1Pd7_control_unified,2005-12-01,11,FALSE,TRUE,NA,1Pd7,1Pd7_control_T1,T1,2005-12-01,control_T1,11,11,*Pocillopora favosa*
1Pd7,2006-12-01,control_unified,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd7,Pocillopora_damicornis,1/12/2006,Pocillopora,Unified,control,1Pd7_control_unified,2005-12-01,12,FALSE,TRUE,NA,1Pd7,1Pd7_control_T1,T1,2005-12-01,control_T1,12,12,*Pocillopora favosa*
1Pd7,2007-02-01,control_unified,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd7,Pocillopora_damicornis,1/2/2007,Pocillopora,Unified,control,1Pd7_control_unified,2005-12-01,14,FALSE,TRUE,NA,1Pd7,1Pd7_control_T1,T1,2005-12-01,control_T1,13,14,*Pocillopora favosa*
1Pd7,2007-04-01,control_unified,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd7,Pocillopora_damicornis,1/4/2007,Pocillopora,Unified,control,1Pd7_control_unified,2005-12-01,16,FALSE,TRUE,NA,1Pd7,1Pd7_control_T1,T1,2005-12-01,control_T1,14,16,*Pocillopora favosa*
1Pd7,2007-06-01,control_unified,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd7,Pocillopora_damicornis,1/6/2007,Pocillopora,Unified,control,1Pd7_control_unified,2005-12-01,18,FALSE,TRUE,NA,1Pd7,1Pd7_control_T1,T1,2005-12-01,control_T1,15,18,*Pocillopora favosa*
1Pd7,2007-07-01,control_unified,control,1,Pocillopora_damicornis,0,2,0,0,NA,1Pd7,Pocillopora_damicornis,1/7/2007,Pocillopora,Unified,control,1Pd7_control_unified,2005-12-01,19,FALSE,TRUE,NA,1Pd7,1Pd7_control_T1,T1,2005-12-01,control_T1,16,19,*Pocillopora favosa*
1Pd7,2007-09-01,control_unified,control,1,Pocillopora_damicornis,0,4,0,0,NA,1Pd7,Pocillopora_damicornis,1/9/2007,Pocillopora,Unified,control,1Pd7_control_unified,2005-12-01,21,FALSE,TRUE,NA,1Pd7,1Pd7_control_T1,T1,2005-12-01,control_T1,17,21,*Pocillopora favosa*
1Pd7,2007-10-01,control_unified,control,1,Pocillopora_damicornis,0,2,0,0,NA,1Pd7,Pocillopora_damicornis,1/10/2007,Pocillopora,Unified,control,1Pd7_control_unified,2005-12-01,22,FALSE,TRUE,NA,1Pd7,1Pd7_control_T2,T2,2007-06-01,control_T2,18,22,*Pocillopora favosa*
1Pd7,2007-12-01,control_unified,control,1,Pocillopora_damicornis,0,2,0,0,NA,1Pd7,Pocillopora_damicornis,1/12/2007,Pocillopora,Unified,control,1Pd7_control_unified,2005-12-01,24,FALSE,TRUE,NA,1Pd7,1Pd7_control_T2,T2,2007-06-01,control_T2,19,24,*Pocillopora favosa*
1Pd7,2008-09-01,control_unified,control,1,Pocillopora_damicornis,0,2,0,0,NA,1Pd7,Pocillopora_damicornis,1/9/2008,Pocillopora,Unified,control,1Pd7_control_unified,2005-12-01,33,FALSE,TRUE,NA,1Pd7,1Pd7_control_T2,T2,2007-06-01,control_T2,20,33,*Pocillopora favosa*
1Pd7,2008-12-01,control_unified,control,1,Pocillopora_damicornis,0,2,0,0,NA,1Pd7,Pocillopora_damicornis,1/12/2008,Pocillopora,Unified,control,1Pd7_control_unified,2005-12-01,36,FALSE,TRUE,NA,1Pd7,1Pd7_control_T2,T2,2007-06-01,control_T2,21,36,*Pocillopora favosa*
1Pd7,2009-04-01,control_unified,control,1,Pocillopora_damicornis,0,2,1,0,NA,1Pd7,Pocillopora_damicornis,1/4/2009,Pocillopora,Unified,control,1Pd7_control_unified,2005-12-01,40,FALSE,TRUE,NA,1Pd7,1Pd7_control_T2,T2,2007-06-01,control_T2,22,40,*Pocillopora favosa*
1Pd7,2009-09-01,control_unified,control,1,Pocillopora_damicornis,2,0,0,0,NA,1Pd7,Pocillopora_damicornis,1/9/2009,Pocillopora,Unified,control,1Pd7_control_unified,2005-12-01,45,FALSE,TRUE,NA,1Pd7,1Pd7_control_T2,T2,2007-06-01,control_T2,23,45,*Pocillopora favosa*
1Pd7,2011-11-01,control_unified,control,1,Pocillopora_damicornis,2,0,0,0,NA,1Pd7,Pocillopora_damicornis,1/11/2011,Pocillopora,Unified,control,1Pd7_control_unified,2005-12-01,71,FALSE,TRUE,NA,1Pd7,1Pd7_control_T2,T2,2007-06-01,control_T2,26,71,*Pocillopora favosa*
1Pd7,2012-03-01,control_unified,control,1,Pocillopora_damicornis,2,0,0,0,NA,1Pd7,Pocillopora_damicornis,1/3/2012,Pocillopora,Unified,control,1Pd7_control_unified,2005-12-01,75,FALSE,TRUE,NA,1Pd7,1Pd7_control_T2,T2,2007-06-01,control_T2,27,75,*Pocillopora favosa*
1Pd8,2005-12-01,control_unified,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd8,Pocillopora_damicornis,1/12/2005,Pocillopora,Unified,control,1Pd8_control_unified,2005-12-01,0,FALSE,TRUE,NA,1Pd8,1Pd8_control_T1,T1,2005-12-01,control_T1,1,0,*Pocillopora favosa*
1Pd8,2006-01-01,control_unified,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd8,Pocillopora_damicornis,1/1/2006,Pocillopora,Unified,control,1Pd8_control_unified,2005-12-01,1,FALSE,TRUE,NA,1Pd8,1Pd8_control_T1,T1,2005-12-01,control_T1,2,1,*Pocillopora favosa*
1Pd8,2006-02-01,control_unified,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd8,Pocillopora_damicornis,1/2/2006,Pocillopora,Unified,control,1Pd8_control_unified,2005-12-01,2,FALSE,TRUE,NA,1Pd8,1Pd8_control_T1,T1,2005-12-01,control_T1,3,2,*Pocillopora favosa*
1Pd8,2006-03-01,control_unified,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd8,Pocillopora_damicornis,1/3/2006,Pocillopora,Unified,control,1Pd8_control_unified,2005-12-01,3,FALSE,TRUE,NA,1Pd8,1Pd8_control_T1,T1,2005-12-01,control_T1,4,3,*Pocillopora favosa*
1Pd8,2006-04-01,control_unified,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd8,Pocillopora_damicornis,1/4/2006,Pocillopora,Unified,control,1Pd8_control_unified,2005-12-01,4,FALSE,TRUE,NA,1Pd8,1Pd8_control_T1,T1,2005-12-01,control_T1,5,4,*Pocillopora favosa*
1Pd8,2006-05-01,control_unified,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd8,Pocillopora_damicornis,1/5/2006,Pocillopora,Unified,control,1Pd8_control_unified,2005-12-01,5,FALSE,TRUE,NA,1Pd8,1Pd8_control_T1,T1,2005-12-01,control_T1,6,5,*Pocillopora favosa*
1Pd8,2006-06-01,control_unified,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd8,Pocillopora_damicornis,1/6/2006,Pocillopora,Unified,control,1Pd8_control_unified,2005-12-01,6,FALSE,TRUE,NA,1Pd8,1Pd8_control_T1,T1,2005-12-01,control_T1,7,6,*Pocillopora favosa*
1Pd8,2006-07-01,control_unified,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd8,Pocillopora_damicornis,1/7/2006,Pocillopora,Unified,control,1Pd8_control_unified,2005-12-01,7,FALSE,TRUE,NA,1Pd8,1Pd8_control_T1,T1,2005-12-01,control_T1,8,7,*Pocillopora favosa*
1Pd8,2006-08-01,control_unified,control,1,Pocillopora_damicornis,0,2,0,0,NA,1Pd8,Pocillopora_damicornis,1/8/2006,Pocillopora,Unified,control,1Pd8_control_unified,2005-12-01,8,FALSE,TRUE,NA,1Pd8,1Pd8_control_T1,T1,2005-12-01,control_T1,9,8,*Pocillopora favosa*
1Pd8,2006-09-01,control_unified,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd8,Pocillopora_damicornis,1/9/2006,Pocillopora,Unified,control,1Pd8_control_unified,2005-12-01,9,FALSE,TRUE,NA,1Pd8,1Pd8_control_T1,T1,2005-12-01,control_T1,10,9,*Pocillopora favosa*
1Pd8,2006-11-01,control_unified,control,1,Pocillopora_damicornis,0,2,0,0,NA,1Pd8,Pocillopora_damicornis,1/11/2006,Pocillopora,Unified,control,1Pd8_control_unified,2005-12-01,11,FALSE,TRUE,NA,1Pd8,1Pd8_control_T1,T1,2005-12-01,control_T1,11,11,*Pocillopora favosa*
1Pd8,2006-12-01,control_unified,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd8,Pocillopora_damicornis,1/12/2006,Pocillopora,Unified,control,1Pd8_control_unified,2005-12-01,12,FALSE,TRUE,NA,1Pd8,1Pd8_control_T1,T1,2005-12-01,control_T1,12,12,*Pocillopora favosa*
1Pd8,2007-02-01,control_unified,control,1,Pocillopora_damicornis,0,2,0,0,NA,1Pd8,Pocillopora_damicornis,1/2/2007,Pocillopora,Unified,control,1Pd8_control_unified,2005-12-01,14,FALSE,TRUE,NA,1Pd8,1Pd8_control_T1,T1,2005-12-01,control_T1,13,14,*Pocillopora favosa*
1Pd8,2007-04-01,control_unified,control,1,Pocillopora_damicornis,0,2,0,0,NA,1Pd8,Pocillopora_damicornis,1/4/2007,Pocillopora,Unified,control,1Pd8_control_unified,2005-12-01,16,FALSE,TRUE,NA,1Pd8,1Pd8_control_T1,T1,2005-12-01,control_T1,14,16,*Pocillopora favosa*
1Pd8,2007-06-01,control_unified,control,1,Pocillopora_damicornis,0,2,0,0,NA,1Pd8,Pocillopora_damicornis,1/6/2007,Pocillopora,Unified,control,1Pd8_control_unified,2005-12-01,18,FALSE,TRUE,NA,1Pd8,1Pd8_control_T1,T1,2005-12-01,control_T1,15,18,*Pocillopora favosa*
1Pd8,2007-07-01,control_unified,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd8,Pocillopora_damicornis,1/7/2007,Pocillopora,Unified,control,1Pd8_control_unified,2005-12-01,19,FALSE,TRUE,NA,1Pd8,1Pd8_control_T1,T1,2005-12-01,control_T1,16,19,*Pocillopora favosa*
1Pd8,2007-09-01,control_unified,control,1,Pocillopora_damicornis,0,2,0,0,NA,1Pd8,Pocillopora_damicornis,1/9/2007,Pocillopora,Unified,control,1Pd8_control_unified,2005-12-01,21,FALSE,TRUE,NA,1Pd8,1Pd8_control_T1,T1,2005-12-01,control_T1,17,21,*Pocillopora favosa*
1Pd8,2007-10-01,control_unified,control,1,Pocillopora_damicornis,0,2,0,0,NA,1Pd8,Pocillopora_damicornis,1/10/2007,Pocillopora,Unified,control,1Pd8_control_unified,2005-12-01,22,FALSE,TRUE,NA,1Pd8,1Pd8_control_T2,T2,2007-06-01,control_T2,18,22,*Pocillopora favosa*
1Pd8,2007-12-01,control_unified,control,1,Pocillopora_damicornis,0,2,2,0,NA,1Pd8,Pocillopora_damicornis,1/12/2007,Pocillopora,Unified,control,1Pd8_control_unified,2005-12-01,24,FALSE,TRUE,NA,1Pd8,1Pd8_control_T2,T2,2007-06-01,control_T2,19,24,*Pocillopora favosa*
1Pd8,2008-09-01,control_unified,control,1,Pocillopora_damicornis,0,2,0,0,NA,1Pd8,Pocillopora_damicornis,1/9/2008,Pocillopora,Unified,control,1Pd8_control_unified,2005-12-01,33,FALSE,TRUE,NA,1Pd8,1Pd8_control_T2,T2,2007-06-01,control_T2,20,33,*Pocillopora favosa*
1Pd8,2008-12-01,control_unified,control,1,Pocillopora_damicornis,0,2,2,0,NA,1Pd8,Pocillopora_damicornis,1/12/2008,Pocillopora,Unified,control,1Pd8_control_unified,2005-12-01,36,FALSE,TRUE,NA,1Pd8,1Pd8_control_T2,T2,2007-06-01,control_T2,21,36,*Pocillopora favosa*
1Pd8,2009-04-01,control_unified,control,1,Pocillopora_damicornis,0,2,0,0,NA,1Pd8,Pocillopora_damicornis,1/4/2009,Pocillopora,Unified,control,1Pd8_control_unified,2005-12-01,40,FALSE,TRUE,NA,1Pd8,1Pd8_control_T2,T2,2007-06-01,control_T2,22,40,*Pocillopora favosa*
1Pd8,2009-09-01,control_unified,control,1,Pocillopora_damicornis,0,4,0,0,NA,1Pd8,Pocillopora_damicornis,1/9/2009,Pocillopora,Unified,control,1Pd8_control_unified,2005-12-01,45,FALSE,TRUE,NA,1Pd8,1Pd8_control_T2,T2,2007-06-01,control_T2,23,45,*Pocillopora favosa*
